8.2;;;
Air;Blow;AIRBlow;compressed air, depressurise, release, puff, sputter, flutter, purge
Air;Burst;AIRBrst;air blast, air poof, chuff, spurt, blast
Air;Hiss;AIRHiss;air release, exhaust, expel, leak
Air;Misc;AIRMisc;miscellaneous
Air;Suction;AIRSuck;vacuum, suck, suction
Aircraft;Door;AERODoor;cockpit door, aircraft door, hatch, emergency exit
Aircraft;Helicopter;AEROHeli;gyrocopter, whirlybird, chopper, ghetto bird, bellcopter, police chopper, huey, chopper, blackhawk
Aircraft;Interior;AEROInt;jet, airplane, aircraft, passenger jet, glider, zeppelin, airliner, jetliner, jumbo jet, learjet, airbus, boeing, bombardier, 737, 747, 777, A310, DC-10, A310, A330, A350, A380, fighter jet
Aircraft;Jet;AEROJet;airliner, jetliner, jumbo jet, learjet, airbus, boeing, bombardier, 737, 747, 777, A310, DC-10, A310, A330, A350, A380
Aircraft;Mechanism;AEROMech;landing gear, cockpit lever, rudder, flap
Aircraft;Military;AEROMil;fighter jet, bomber, stealth bomber, blue angels, thunderbirds, lockheed, mig, F18, F16, F35, F22, A10, P52
Aircraft;Misc;AEROMisc;blimp, glider, hot air balloon, ultralight, hang glider, zeppelin, dirigible
Aircraft;Prop;AEROProp;biplane, triplane, turboprop, stunt plane, crop duster, piper cub, propeller, twin-prop, propjet, airscrew
Aircraft;Radio Controlled;AERORadio;quadcopters, uav, unmanned aerial vehicle, rc jet, rc helicopter, drone
Aircraft;Rocket;AERORckt;rocket, missile, jetpack, space shuttle, spacex, nasa, icbm, nuclear rocket, warhead
Alarms;Bell;ALRMBell;fire bell, school bell, railroad crossing bell, alarm bell
Alarms;Buzzer;ALRMBuzr;door buzzer, game show buzzer, front door buzzer, entry buzzer, intercom buzzer
Alarms;Clock;ALRMClok;digital alarm clock, alarm clock, alarm clock
Alarms;Electronic;ALRMElec;fire detector, smoke detector, CO2 detector, car alarm, home alarm
Alarms;Misc;ALRMMisc;miscellaneous
Alarms;Siren;ALRMSirn;klaxon, ahooga horn, air raid siren, tornado siren
Ambience;Air;AMBAir;desert, winter, quiet air, night air, mountain air, night air
Ambience;Alpine;AMBAlpn;alps, mountains, rockies, tetons, mountaineering, mountainous, snowcapped, mountainside, peak
Ambience;Amusement;AMBAmus;disneyland, six-flags, theme park, amusement park, carnival, fair, county fair, midway, traveling fair, festival, haunted house, funhouse, arcade, pinball
Ambience;Birdsong;AMBBird;dawn chorus, morning chorus, pretty bird, flocks, chirping, tweeting, peeping
Ambience;Celebration;AMBCele;public gathering, event, party, gala, carnival, fest, fiesta, festival
Ambience;Construction;AMBCnst;road construction, building, carpentry, remodel, home reno, road repair, rebuilding
Ambience;Desert;AMBDsrt;desert, tumbleweed, oasis, barren, wasteland, sahara, arid, sand dunes, desolate
Ambience;Designed;AMBDsgn;artificial, designed
Ambience;Emergency;AMBEmrg;crime scene, fire fighting, police, medics, evidence, natural disaster, shooting, accident, catastrophe, injury, pileup casualty
Ambience;Fantasy;AMBFant;fairy, fantasy, magical, realm, dream, middle earth, pandora
Ambience;Farm;AMBFarm;farm, harvest, tilling, ranch, farmstead, grange, plantation, farmland, pen, barn, pasture, dairy, vineyard, corral, pastoral
Ambience;Forest;AMBForst;forest, woods, timberland, boreal forest, rainforest, temperate rainforest, cloud forest, deciduous, conifer
Ambience;Grassland;AMBGras;prairie, farmland, grass, meadow, grazing, pasture, plains
Ambience;Historical;AMBHist;ghost town, old west, gold rush, ancient rome, ancient greece
Ambience;Hitech;AMBTech;laboratory, machine room, server, data center, control room
Ambience;Hospital;AMBHosp;emergency room, surgery, waiting room, sickhouse, clinic, sanatorium, infirmary
Ambience;Industrial;AMBInd;factory, manufacturing, plant, mill, warehouse, workshop
Ambience;Insect;AMBInsc;crickets, cicadas, katydids, swam, locusts
Ambience;Lakeside;AMBLake;lakes, lakeside, lapping, swimming, reservoir, pond, loch
Ambience;Market;AMBMrkt;market, market place, vendor, shopping district, bazaar, mart, exchange, flea market, square
Ambience;Misc;AMBMisc;miscellaneous
Ambience;Nautical;AMBNaut;nautical, shipyard, poopdeck, stern, bow, aft, seafaring, seagoing, oceanic, marine, maritime, marina
Ambience;Office;AMBOffc;office, cubicle, workplace, department, station, branch, workstation
Ambience;Park;AMBPark;park, playground, gardens, botantical gardens, city park, suburban park, ballpark, parkland
Ambience;Prison;AMBPrisn;prison, jail, prison yard, penitentiary, slammer, jailhouse, detention, solitary confinement, penal institution
Ambience;Protest;AMBPrtst;protest, rally, rallies, riot, chanting, yelling, screaming, angry crowd, marches, demonstration, turmoil, revolt, revolution, angry
Ambience;Public place;AMBPubl;stores, lobbies, hotels, malls, museums, public squares, courtyards, gyms, fitness center, motel, library, courthouse, court
Ambience;Religious;AMBRlgn;church, temple, mosque, chapel, derasar, cathedral
Ambience;Residential;AMBHome;home, apartment, condo, mansion, house, townhouse, cabin, house, residence
Ambience;Restaurant & Bar;AMBRest;restaurant, bar, pub, gastropub, foodcart, diner, cafe, cafeteria, canteen, tearoom, saloon, coffee shop, pizzeria, fast-food, wine bar, automat, commissary, tavern, nightclub, deli, eatery, brasserie, drive-in
Ambience;Room Tone;AMBRoom;room tone, dead air, quiet air
Ambience;Rural;AMBRurl;countryside, plain, prairie, grassland, mountain, rolling hill, savanna, tundra, meadow, canyon, coulee, scrub, scrubland, plateau
Ambience;School;AMBSchl;grade school, middle school, highschool, college, preschool, university, classroom, assembly
Ambience;Scifi;AMBSci;spaceship, tech center, command center, scifi, futuristic, high-tech, hi-tec
Ambience;Seaside;AMBSea;beach, seaside, strand, coastal, shore, shoreline, seashore, seaboard, boardwalk, beach resort, beachfront, embankment, dock, pier, harbour, harbor
Ambience;Sport;AMBSprt;nfl, football, nba, basketball, mlb, baseball, tennis, sport event, little league, practice
Ambience;Suburban;AMBSubn;suburb, residential, neighborhood, cul-de-sac, village, barrio, outskirts, hamlet
Ambience;Swamp;AMBSwmp;frog, bog, swamp, everglade, wetland, riparian, lakeside, lake, mangrove
Ambience;Town;AMBTown;town, village, hamlet, small town, community, settlement
Ambience;Traffic;AMBTraf;car bys, freeway, highway, boulevard, avenue, motorway
Ambience;Transportation;AMBTran;train station, airport, bus station, subway station, tube station, metro station, terminal, depot, terminus
Ambience;Tropical;AMBTrop;jungle, bush, tropical rainforest, cloud forest, tropical
Ambience;Tundra;AMBTndra;artic, antartic, plateau, north pole, south pole, polar, glacier, snow, ice
