8.2.1;;;;
Air;Blow;AIRBlow;Steady air blows, like from a compressed can of air.;Aerate, Aerosol, Air, Airhose, Balloon, Beat, Bellows, Blast, Blow, Blower, Blowgun, Blown, Blowpipe, Blows, Blowtube, Bluff, Carbon, CO2, Compressed, Depressurize, Dioxide, Duster, Exhaust, Flutter, Gust, Helium, Huff, Inflate, Nitrogen, Oxygen, Puff, Puffed, Purge, Release, Sputter, Vent, Waft, Whiff
Air;Burst;AIRBrst;Sharp air releases, pressure releases, a tennis call can popping open, a fire extinguisher;Air, Airbed, Airblast, Airgun, Airhose, Blast, Blowhole, Blowout, Burst, Carbon, Chuff, CO2, Dioxide, Discharge, Explosion, Flash, Gas, Helium, Jet, Kerboom, Nitrogen, Outburst, Oxygen, Poof, Pop, Rush, Seal, Spurt, Surge, Torrent
Air;Hiss;AIRHiss;Slow air releases, a flat tire, leak in an air pipe.;Carbon, CO2, Dioxide, Discharge, Exhaust, Expel, Helium, Hissing, Leak, Nitrogen, Oxygen, Purr, Release, Shush, Sibilate, Whistling
Air;Misc;AIRMisc;Air sounds not fitting another category in this list.;Airtight, Airway, Carbon, CO2, Dioxide, Gas, Helium, Inflatable, Intake, Miscellaneous, Nitrogen, Oxygen, Sky, Ventilation
Air;Suction;AIRSuck;Air being sucked in, a vacuum sucking in air, the rush of air in a shopvac.;Air, Aspirate, Aspiration, Carbon, CO2, Consume, Dental, Dioxide, Draw, Helium, Hoover, Ingest, Inspiration, Inspire, Intake, Nitrogen, Oxygen, Pull, Pump, Pumps, Siphon, Suck, Suction, Syphon, Syringe, Vac, Vacuity, Vacuum
Aircraft;Door;AERODoor;Aircraft doors, some possible overlap with other DOOR categories, or VEHICLES-DOOR.;Airplane, Aviation, Boarding, Cabin, Cargo, Cockpit, Emergency, Entrance, Entryway, Exit, Fuselage, Hatch, Helicopter, Jet, Panel, Passenger, Ports, Trapdoor, Wing
Aircraft;Helicopter;AEROHeli;For all manner of helicopters, gyrocopters.;Aerochopper, Aircraft, Apache, Autogiro, Autogyro, Bird, Blackhawk, Chopper, Choppers, Copter, Copters, Ghetto, Gyrocopter, Gyroplane, Heli, Helichopper, Helicopter, Helicopteron, Helicoptor, Helijet, Helipad, Helipilot, Heliport, Helo, Helos, Huey, Jetcopter, Lift, Medevac, Medivac, Multirotor, Ornithopter, Police, Rotary-Wing, Rotodyne, Rotorcraft, Sar, Sikorsky, Skyhook, Tailwheel, Tiltrotor, Tricopter, Vertical, VTOL, Whirlybird
Aircraft;Interior;AEROInt;Interior recordings (mainly complex ambiences) of aircraft, from cockpit interiors, to passenger jet interiors.;737, 747, 777, A310, A330, A350, A380, Aboard, Aeroplane, Airbus, Aircraft, Airliner, Airplane, Aisle, Avionics, Bay, Belly, Bins, Boeing, Bombardier, Bowels, Cabin, Cargo, Cockpit, Compartment, Crew, DC-10, Deck, Fighter, Flight, Fuselage, Galley, Glider, Hold, Inside, Interior, Jet, Jetliner, Jumbo, Lavatory, Learjet, Midflight, Flight, Overhead, Passenger, Zeppelin
Aircraft;Jet;AEROJet;All commercial and private jet powered aircraft, military jets would go under AIRCRAFT-MILITARY.;737, 747, 777, A310, A330, A350, A380, Aeroplane, Afterburner, Airbus, Aircraft, Airliner, Airplane, Boeing, Bombardier, Cargo, Commercial, DC-10, Jet, Jetliner, Jumbo, Learjet, Passenger, Plane, Private, Ramjet, Regional, Scramjet, Supersonic, Turbojet, Twinjet, Unducted
Aircraft;Mechanism;AEROMech;Mechanical components of aircraft, for example landing gear, or levers and switches.;Actuators, Aerofoil, Aeroplane, Aileron, Ailerons, Airbrake, Aircraft, Airplane, Apron, Arrester, Autopilot, Avionics, Bombsight, Brakes, Cockpit, Column, Control, Cowl, Cowling, Devices, Doors, Elevator, Elevators, Fin, Flap, Flaps, Flight, Gear, Gimbals, Gyroscope, Hook, Hydraulic, Instrument, Landing, Lever, Pedal, Propellers, Reversers, Rudder, Slats, Spoilers, Surfaces, Systems, Throttle, Thrust, Turbines, Yoke
Aircraft;Military;AEROMil;Military aircraft, military fighter jets, stealth bombers, but any military aircraft goes here. Also military drones. Military helicopters could go here or in AIRCRAFT-HELICOPTER.;A10, Aeroplane, Air, Aircraft, Airplane, Angels, Army, Attack, Blue, Bogey, Bomber, Combat, Drone, F16, F18, F22, F35, Fighter, Force, Gunship, Interceptor, Jet, Lockheed, Mig, Military, Mustang, Navy, P51, P52, Plane, Reconnaissance, Sortie, Spy, Squadron, Stealth, Strike, Surveillance, Thunderbirds, Trainer, Transport, Warbird, Warplane
Aircraft;Misc;AEROMisc;Aircraft not fitting another category in this list.;Aeroplane, Air, Aircraft, Airplane, Balloon, Blimp, Dirigible, Flyer, Flyover, Glider, Hang, Hang-Glider, Hot, Land, Liftoff, Parachute, Piloting, Runway, Ultralight, Zeppelin
Aircraft;Prop;AEROProp;Aircraft using props as means of propulsion. A propeller airplane.;Aeroplane, Aircraft, Airplane, Airscrew, Amphibious, Antique, Beechcraft, Biplane, Bombardier, Bushplane, Cesna, Cherokee, Crop, Cub, Duster, Floatplane, Piper, Plane, Prop, Propeller, Propjet, Seaplane, STOL, Stunt, Triplane, Turboprop, Twin-Prop, Vintage
Aircraft;Radio controlled;AERORadio;Toy hobby radio controlled, UAV, quadcopters, RC jets and RC helicopters.;Aerial, Airplane, Control, Controlled, Drone, Helicopter, Jet, Model, Quadcopters, Radio, RC, Remote, RPA, RPV, Scale, UAS, UAV, Unmanned
Aircraft;Rocket;AERORckt;Jet powered rockets and rocket engines., missiles.;Blastoff, Booster, Hypersonic, ICBM, Jet, Jetpack, Launch, Launchers, Launching, Launchpad, Missile, Missiles, Missle, NASA, Nuclear, Nuke, Orbit, Payload, Propellant, Propelled, Propellent, Ramjet, Ramjets, Retrorocket, Retrorockets, Rocketeer, Rocketeers, Rocketman, Rocketplane, Rocketry, Rocketship, Shuttle, Skyrocket, Soyuz, Space, Spacelab, Spaceman, Spaceplane, Spaceplanes, Spacex, Sputniks, Suborbital, Thruster, Warhead
Alarms;Bell;ALRMBell;All alarms which use bells, a school bell, fire alarm bell, a railroad crossing bell.;Alarms, Alert, Bank, Burglar, Caution, Clanger, Clock, Crossing, Fire, Notice, Railroad, Reminder, School, Signal, Striker, Tower, Warning
Alarms;Buzzer;ALRMBuzr;All alarms using buzzers, or buzzers in general even if not technically an alarm, would probably go here. A front door buzzer.;Alarm, Alarms, Alert, Burglar, Buzzing, Caution, Door, Doorkeeper, Doorman, Emergency, Entry, Fire, Front, Game, Home, Hospital, Intercom, Notice, Reminder, Security, Show, Signal, Warning
Alarms;Clock;ALRMClok;Specifically alarm clocks, digital or analog. A bit of overlap with ALARMS-BELL, but clock alarms of all kinds probably best to go here.;Alarm, Alarms, Analog, Clock, Digital, Sleep, Snooze, Timepiece, Timer, Wind
Alarms;Electronic;ALRMElec;All electronic alarms, pure electronic tone alarms. Home burglar alarms, smoke detectors, etc. Car alarms would go to VEHICLES-ALARMS.;Alarms, Alert, Button, Car, Carbon, Caution, CO2, Detector, Digital, Home, Intruder, Intrusion, Keycard, Monoxide, Notice, Panic, Programable, Reminder, Security, Signal, Smoke, Timer, Warning
Alarms;Misc;ALRMMisc;Alarm sounds not fitting another category in this list.;Alarms, Alert, Anti-Theft, Caution, Homing, Miscellaneous, Notice, Reminder, Signal, Warning
Alarms;Siren;ALRMSirn;Mechanical sirens, like old klaxons. Vehicle sirens such a police, fire and ambulance to go to VEHICLES-SIREN.;Ahooga, Air, Air-Raid, Alarms, Blare, Civil, Claxon, Defense, Doppler, Hailer, Hooters, Horn, Klaxon, Raid, Siren, Sirenidae, Tornado
Ambience;Air;AMBAir;Quiet exterior 'air' with little activity, like exterior room tones, very simple exterior ambiences. The exterior equivalent of a room tone. If noticable activity find a better fitting category.;Atmos, Atmosphere, Ambience, Ambiance, BG, Background, Calm, Cave, Clear, Clearing, Desert, Field, Forest, Garden, Mountain, Night, Noiselessly, Oasis, Peaceful, Quiet, Sedate, Serene, Silence, Silent, Snowy, Still, Tranquil, Winter
Ambience;Alpine;AMBAlpn;Mountain ambiences, for recordings and ambiences geographically linked to Alpine Environments. Some overlap with AMBIENCE-RURAL.;Alpen, Alpes, Alpin, Alpine, Alpinist, Alpinists, Alps, Andean, Andes, Atmos, Atmosphere, Ambience, Ambiance, BG, Background, Craggy, Downhill, Glacial, Highland, Hilly, Himalayas, Icefalls, Jagged, Matterhorn, Meadow, Montane, Montanic, Mountain, Mountaineer, Mountaineering, Mountainous, Mountains, Mountainscape, Mountainside, Mountaintop, Nordic, Pass, Patagonian, Peak, Peaks, Pyrenean, Pyrenees, Resort, Ridge, Rockies, Rocky, Rugged, Ski, Snowcapped, Snowy, Styrian, Subalpine, Summit, Tetons, Timberline, Tirol, Transalpine, Transmontane, Tyrol, Tyrolean, Ultramontane, Upland, Uplandish, Uralian
Ambience;Amusement;AMBAmus;Theme parks and carnivals. Beware of possible rights issues with uncleared music. Carnivals, fairs, festivals. Probably arcades too.;Atmos, Atmosphere, Ambience, Ambiance, BG, Background, Adventure, Arcade, Biopark, Boardwalk, Bouncing, Bumper, Carnival, Carousel, Cars, Casino, Circus, Coaster, County, Course, Disney, Disneyland, Exploratorium, Fair, Fairground, Ferris, Festival, Flags, Funfair, Funhouse, Gamepark, Go-Kart, Golf, Haunted, Hellhouse, House, Merry-Go-Round, Midway, Mini, Mini-Golf, Park, Pinball, Playland, Roller, Six, Six-Flags, Theater, Theme, Tourist, Traveling, Venue, Wally, Water, Waterpark, Wheel, Wonderworld, Zoological
Ambience;Birdsong;AMBBird;Group songbirds, like a dawn chorus of pretty birds, where the birds are the prominent sound. Single birds would go in BIRDS-SONGBIRD.;Atmos, Atmosphere, Ambience, Ambiance, BG, Background, Bird, Birdcall, Birdcalls, Birdlife, Birdsong, Birdsongs, Cacophony, Cheeping, Chirping, Chirpings, Chirps, Chittering, Chorus, Dawn, Flocks, Morning, Nightbirds, Nightingales, Peeping, Pinewoods, Pretty, Singing, Songbird, Songbirds, Songful, Soundscape, Sparrows, Spring, Susurration, Susurrus, Thrum, Trilling, Tweeting, Twittering, Twitterings, Vocalisations, Warble, Warbling, Warblings, Whistlings
Ambience;Celebration;AMBCele;Parties, New Years Eve. Not pure crowds, as that would go in CROWDS, but i.e. exterior city new years. Also see AMBIENCES-AMUSEMENT for something like a fair or festival.;Anniversary, Atmos, Atmosphere, Ambience, Ambiance, BG, Background, Awards, Birthday, Birthdays, Blast, Blowout, Carnival, Celebrants, Ceremonials, Ceremonies, Ceremony, Championships, Commemorate, Commemorating, Commemoration, Commemorations, Commemorative, Concelebrate, Congratulating, Decorations, Drunken, Eid, Elation, Enjoyments, Entertainments, Event, Excitement, Excitements, Exhilaration, Extravaganza, Extravaganzas, Exultation, Exulting, Fairs, Feasts, Felicitating, Felicities, Fest, Festival, Festivals, Festiveness, Festivities, Festivity, Fete, Fiesta, Fireworks, Functions, Gala, Galas, Gathering, Gatherings, Graduation, Graduations, Happiness, Joyous, Joyousness, Jubilance, Jubilating, Jubilation, Jubilee, Merriment, Merrymaking, Observance, Observances, Occasion, Occasions, Overjoyed, Parade, Parades, Parties, Party, Partygoers, Partying, Prom, Public, Qing, Quincea√±era, Rager, Rave, Reception, Religious, Revellers, Revelling, Revelries, Revelry, Traditional, Traditions, Victories, Wedding, Weddings
Ambience;Construction;AMBCnst;Construction scenes with things like jackhammers, cranes, pile drivers, composite construction scene, road construction also.;Architect, Architectural, Architecture, Assembly, Atmos, Atmosphere, Ambience, Ambiance, BG, Background, Build, Builder, Building, Buildings, Buildup, Built, Carpentry, Construct, Constructing, Constructive, Constructor, Contracting, Contractor, Demolition, Design, Engineering, Erect, Erection, Foundation, Home, Housing, Infrastructure, Installation, Labour, Manufacture, Planning, Plot, Prefab, Preparation, Project, Projects, Provision, Rebuild, Rebuilding, Reconstruct, Reconstruction, Remodel, Reno, Renovation, Repair, Road, Site, Workmanship, Works, Worksite
Ambience;Desert;AMBDsrt;Quiet desert ambiences with appropriate insects and birds. Maybe tumbleweeds.;Abandon, Arabian, Arid, Aridity, Aridness, Atacama, Atmos, Atmosphere, Ambience, Ambiance, BG, Background, Badland, Badlands, Bare, Barren, Bedouin, Bedouins, Cacti, Cactuses, Canyons, Dearth, Desertlike, Desolate, Dry, Dune, Dunes, Dustbowl, Empty, Expanse, Flatlands, Forsake, Gobi, Godforsaken, Grassless, Hilltop, Hot, Hyperarid, Infertile, Inhospitable, Kalahari, Karakum, Lifeless, Lonely, Mirage, Mirages, Mohave, Mojave, Moonscape, Oases, Oasis, Outback, Parched, Playa, Sable, Sagebrush, Sahara, Saharan, Saharawi, Sahraoui, Sahrawi, Sand, Sandstorms, Sandy, Scrublands, Semidesert, Sonoran, Steppes, Sunbaked, Tumbleweed, Wadi, Wadis, Walkabout, Waste, Wasteland, Wastelands, Waterless
